YYYMM	ONI
196601	1.4
196602	1.2
196603	1
196604	0.7
196605	0.4
196606	0.2
196607	0.2
196608	0.1
196609	-0.1
196610	-0.1
196611	-0.2
196612	-0.3
196701	-0.4
196702	-0.5
196703	-0.5
196704	-0.4
196705	-0.2
196706	0
196707	0
196708	-0.2
196709	-0.3
196710	-0.4
196711	-0.3
196712	-0.4
196801	-0.6
196802	-0.7
196803	-0.6
196804	-0.4
196805	0
196806	0.3
196807	0.6
196808	0.5
196809	0.4
196810	0.5
196811	0.7
196812	1
196901	1.1
196902	1.1
196903	0.9
196904	0.8
196905	0.6
196906	0.4
196907	0.4
196908	0.5
196909	0.8
196910	0.9
196911	0.8
196912	0.6
197001	0.5
197002	0.3
197003	0.3
197004	0.2
197005	0
197006	-0.3
197007	-0.6
197008	-0.8
197009	-0.8
197010	-0.7
197011	-0.9
197012	-1.1
197101	-1.4
197102	-1.4
197103	-1.1
197104	-0.8
197105	-0.7
197106	-0.7
197107	-0.8
197108	-0.8
197109	-0.8
197110	-0.9
197111	-1
197112	-0.9
197201	-0.7
197202	-0.4
197203	0.1
197204	0.4
197205	0.7
197206	0.9
197207	1.1
197208	1.4
197209	1.6
197210	1.8
197211	2.1
197212	2.1
197301	1.8
197302	1.2
197303	0.5
197304	-0.1
197305	-0.5
197306	-0.9
197307	-1.1
197308	-1.3
197309	-1.5
197310	-1.7
197311	-1.9
197312	-2
197401	-1.8
197402	-1.6
197403	-1.2
197404	-1
197405	-0.9
197406	-0.8
197407	-0.5
197408	-0.4
197409	-0.4
197410	-0.6
197411	-0.8
197412	-0.6
197501	-0.5
197502	-0.6
197503	-0.7
197504	-0.7
197505	-0.8
197506	-1
197507	-1.1
197508	-1.2
197509	-1.4
197510	-1.4
197511	-1.6
197512	-1.7
197601	-1.6
197602	-1.2
197603	-0.7
197604	-0.5
197605	-0.3
197606	0
197607	0.2
197608	0.4
197609	0.6
197610	0.8
197611	0.9
197612	0.8
197701	0.7
197702	0.6
197703	0.3
197704	0.2
197705	0.2
197706	0.3
197707	0.4
197708	0.4
197709	0.6
197710	0.7
197711	0.8
197712	0.8
197801	0.7
197802	0.4
197803	0.1
197804	-0.2
197805	-0.3
197806	-0.3
197807	-0.4
197808	-0.4
197809	-0.4
197810	-0.3
197811	-0.1
197812	0
197901	0
197902	0.1
197903	0.2
197904	0.3
197905	0.2
197906	0
197907	0
197908	0.2
197909	0.3
197910	0.5
197911	0.5
197912	0.6
198001	0.6
198002	0.5
198003	0.3
198004	0.4
198005	0.5
198006	0.5
198007	0.3
198008	0
198009	-0.1
198010	0
198011	0.1
198012	0
198101	-0.3
198102	-0.5
198103	-0.5
198104	-0.4
198105	-0.3
198106	-0.3
198107	-0.3
198108	-0.2
198109	-0.2
198110	-0.1
198111	-0.2
198112	-0.1
198201	0
198202	0.1
198203	0.2
198204	0.5
198205	0.7
198206	0.7
198207	0.8
198208	1.1
198209	1.6
198210	2
198211	2.2
198212	2.2
198301	2.2
198302	1.9
198303	1.5
198304	1.3
198305	1.1
198306	0.7
198307	0.3
198308	-0.1
198309	-0.5
198310	-0.8
198311	-1
198312	-0.9
198401	-0.6
198402	-0.4
198403	-0.3
198404	-0.4
198405	-0.5
198406	-0.4
198407	-0.3
198408	-0.2
198409	-0.2
198410	-0.6
198411	-0.9
198412	-1.1
198501	-1
198502	-0.8
198503	-0.8
198504	-0.8
198505	-0.8
198506	-0.6
198507	-0.5
198508	-0.5
198509	-0.4
198510	-0.3
198511	-0.3
198512	-0.4
198601	-0.5
198602	-0.5
198603	-0.3
198604	-0.2
198605	-0.1
198606	0
198607	0.2
198608	0.4
198609	0.7
198610	0.9
198611	1.1
198612	1.2
198701	1.2
198702	1.2
198703	1.1
198704	0.9
198705	1
198706	1.2
198707	1.5
198708	1.7
198709	1.6
198710	1.5
198711	1.3
198712	1.1
198801	0.8
198802	0.5
198803	0.1
198804	-0.3
198805	-0.9
198806	-1.3
198807	-1.3
198808	-1.1
198809	-1.2
198810	-1.5
198811	-1.8
198812	-1.8
198901	-1.7
198902	-1.4
198903	-1.1
198904	-0.8
198905	-0.6
198906	-0.4
198907	-0.3
198908	-0.3
198909	-0.2
198910	-0.2
198911	-0.2
198912	-0.1
199001	0.1
199002	0.2
199003	0.3
199004	0.3
199005	0.3
199006	0.3
199007	0.3
199008	0.4
199009	0.4
199010	0.3
199011	0.4
199012	0.4
199101	0.4
199102	0.3
199103	0.2
199104	0.3
199105	0.5
199106	0.6
199107	0.7
199108	0.6
199109	0.6
199110	0.8
199111	1.2
199112	1.5
199201	1.7
199202	1.6
199203	1.5
199204	1.3
199205	1.1
199206	0.7
199207	0.4
199208	0.1
199209	-0.1
199210	-0.2
199211	-0.3
199212	-0.1
199301	0.1
199302	0.3
199303	0.5
199304	0.7
199305	0.7
199306	0.6
199307	0.3
199308	0.3
199309	0.2
199310	0.1
199311	0
199312	0.1
199401	0.1
199402	0.1
199403	0.2
199404	0.3
199405	0.4
199406	0.4
199407	0.4
199408	0.4
199409	0.6
199410	0.7
199411	1
199412	1.1
199501	1
199502	0.7
199503	0.5
199504	0.3
199505	0.1
199506	0
199507	-0.2
199508	-0.5
199509	-0.8
199510	-1
199511	-1
199512	-1
199601	-0.9
199602	-0.8
199603	-0.6
199604	-0.4
199605	-0.3
199606	-0.3
199607	-0.3
199608	-0.3
199609	-0.4
199610	-0.4
199611	-0.4
199612	-0.5
199701	-0.5
199702	-0.4
199703	-0.1
199704	0.3
199705	0.8
199706	1.2
199707	1.6
199708	1.9
199709	2.1
199710	2.3
199711	2.4
199712	2.4
199801	2.2
199802	1.9
199803	1.4
199804	1
199805	0.5
199806	-0.1
199807	-0.8
199808	-1.1
199809	-1.3
199810	-1.4
199811	-1.5
199812	-1.6
199901	-1.5
199902	-1.3
199903	-1.1
199904	-1
199905	-1
199906	-1
199907	-1.1
199908	-1.1
199909	-1.2
199910	-1.3
199911	-1.5
199912	-1.7
200001	-1.7
200002	-1.4
200003	-1.1
200004	-0.8
200005	-0.7
200006	-0.6
200007	-0.6
200008	-0.5
200009	-0.5
200010	-0.6
200011	-0.7
200012	-0.7
200101	-0.7
200102	-0.5
200103	-0.4
200104	-0.3
200105	-0.3
200106	-0.1
200107	-0.1
200108	-0.1
200109	-0.2
200110	-0.3
200111	-0.3
200112	-0.3
200201	-0.1
200202	0
200203	0.1
200204	0.2
200205	0.4
200206	0.7
200207	0.8
200208	0.9
200209	1
200210	1.2
200211	1.3
200212	1.1
200301	0.9
200302	0.6
200303	0.4
200304	0
200305	-0.3
200306	-0.2
200307	0.1
200308	0.2
200309	0.3
200310	0.3
200311	0.4
200312	0.4
200401	0.4
200402	0.3
200403	0.2
200404	0.2
200405	0.2
200406	0.3
200407	0.5
200408	0.6
200409	0.7
200410	0.7
200411	0.7
200412	0.7
200501	0.6
200502	0.6
200503	0.4
200504	0.4
200505	0.3
200506	0.1
200507	-0.1
200508	-0.1
200509	-0.1
200510	-0.3
200511	-0.6
200512	-0.8
200601	-0.8
200602	-0.7
200603	-0.5
200604	-0.3
200605	0
200606	0
200607	0.1
200608	0.3
200609	0.5
200610	0.7
200611	0.9
200612	0.9
200701	0.7
200702	0.3
200703	0
200704	-0.2
200705	-0.3
200706	-0.4
200707	-0.5
200708	-0.8
200709	-1.1
200710	-1.4
200711	-1.5
200712	-1.6
200801	-1.6
200802	-1.4
200803	-1.2
200804	-0.9
200805	-0.8
200806	-0.5
200807	-0.4
200808	-0.3
200809	-0.3
200810	-0.4
200811	-0.6
200812	-0.7
200901	-0.8
200902	-0.7
200903	-0.5
200904	-0.2
200905	0.1
200906	0.4
200907	0.5
200908	0.5
200909	0.7
200910	1
200911	1.3
200912	1.6
201001	1.5
201002	1.3
201003	0.9
201004	0.4
201005	-0.1
201006	-0.6
201007	-1
201008	-1.4
201009	-1.6
201010	-1.7
201011	-1.7
201012	-1.6
201101	-1.4
201102	-1.1
201103	-0.8
201104	-0.6
201105	-0.5
201106	-0.4
201107	-0.5
201108	-0.7
201109	-0.9
201110	-1.1
201111	-1.1
201112	-1
201201	-0.8
201202	-0.6
201203	-0.5
201204	-0.4
