 Year   TSI[W m-2]
161005  1360.4768
161105  1360.5031
161205  1360.8808
161305  1361.0784
161405  1361.0622
161505  1360.9769
161605  1360.3887
161705  1360.3071
161805  1360.2836
161905  1360.3663
162005  1360.3719
162105  1360.3447
162205  1360.2999
162305  1360.2211
162405  1360.1882
162505  1360.3807
162605  1360.3249
162705  1360.2310
162805  1360.2867
162905  1360.2640
163005  1360.1782
163105  1360.2009
163205  1360.1872
163305  1360.3364
163405  1360.2430
163505  1360.2429
163605  1360.3091
163705  1360.5178
163805  1360.6461
163905  1360.7642
164005  1360.3947
164105  1360.6848
164205  1360.6559
164305  1360.3137
164405  1360.2681
164505  1360.1729
164605  1360.1542
164705  1360.1281
164805  1360.0948
164905  1360.0827
165005  1360.0270
165105  1360.0186
165205  1360.0611
165305  1360.0173
165405  1360.0163
165505  1360.0151
165605  1360.0152
165705  1360.0113
165805  1360.0125
165905  1360.0113
166005  1360.0252
166105  1360.0159
166205  1360.0102
166305  1360.0102
166405  1360.0102
166505  1360.0098
166605  1360.0100
166705  1360.0100
166805  1360.0113
166905  1360.0108
167005  1360.0104
167105  1360.0167
167205  1360.0134
167305  1360.0108
167405  1360.0120
167505  1360.0108
167605  1360.0217
167705  1360.0161
167805  1360.0134
167905  1360.0117
168005  1360.0169
168105  1360.0117
168205  1360.0114
168305  1360.0113
168405  1360.0213
168505  1360.0108
168605  1360.0140
168705  1360.0103
168805  1360.0135
168905  1360.0109
169005  1360.0096
169105  1360.0096
169205  1360.0097
169305  1360.0100
169405  1360.0101
169505  1360.0108
169605  1360.0109
169705  1360.0147
169805  1360.0157
169905  1360.0179
170005  1360.0208
170105  1360.0246
170205  1360.0224
170305  1360.0384
170405  1360.0506
170505  1360.0583
170605  1360.0390
170705  1360.0600
170805  1360.0484
170905  1360.0388
171005  1360.0385
171105  1360.0373
171205  1360.0578
171305  1360.0673
171405  1360.0736
171505  1360.0924
171605  1360.1367
171705  1360.1887
171805  1360.1553
171905  1360.3344
172005  1360.3015
172105  1360.2974
172205  1360.2374
172305  1360.2060
172405  1360.2691
172505  1360.2499
172605  1360.3906
172705  1360.4411
172805  1360.6137
172905  1360.3609
173005  1360.5711
173105  1360.2007
173205  1360.2083
173305  1360.2258
173405  1360.2344
173505  1360.3149
173605  1360.5163
173705  1360.3405
173805  1360.2814
173905  1360.5185
174005  1360.2241
174105  1360.5792
174205  1360.3128
174305  1360.2709
174405  1360.2213
174505  1360.2122
174605  1360.2504
174705  1360.4202
174805  1360.5694
174905  1360.6096
175005  1360.6141
175105  1360.4323
175205  1360.4184
175305  1360.4186
175405  1360.3095
175505  1360.2979
175605  1360.3164
175705  1360.4123
175805  1360.4771
